,Player,Team,RAA
0,JC Buttler,Rajasthan Royals,501
1,KL Rahul,Lucknow Super Giants,332
2,DA Miller,Gujarat Titans,300
3,AD Russell,Kolkata Knight Riders,275
4,HH Pandya,Gujarat Titans,245
5,KD Karthik,Royal Challengers Bangalore,201
6,DA Warner,Delhi Capitals,199
7,NT Tilak Varma,Mumbai Indians,181
8,RM Patidar,Royal Challengers Bangalore,178
9,Mohsin Khan,Lucknow Super Giants,174
10,Shubman Gill,Gujarat Titans,173
11,YS Chahal,Rajasthan Royals,171
12,JR Hazlewood,Royal Challengers Bangalore,168
13,Kuldeep Yadav,Delhi Capitals,154
14,K Rabada,Punjab Kings,153
15,S Dhawan,Punjab Kings,150
16,Q de Kock,Lucknow Super Giants,146
17,AK Markram,Sunrisers Hyderabad,136
18,SO Hetmyer,Rajasthan Royals,133
19,Umran Malik,Sunrisers Hyderabad,129
20,SA Yadav,Mumbai Indians,122
21,DJ Bravo,Chennai Super Kings,109
22,PWH de Silva,Royal Challengers Bangalore,104
23,RA Tripathi,Sunrisers Hyderabad,103
24,Ramandeep Singh,Mumbai Indians,99
25,N Pooran,Sunrisers Hyderabad,99
26,DJ Hooda,Lucknow Super Giants,98
27,DP Conway,Chennai Super Kings,97
28,Avesh Khan,Lucknow Super Giants,89
29,LS Livingstone,Punjab Kings,86
30,WP Saha,Gujarat Titans,84
31,TH David,Mumbai Indians,83
32,Ishan Kishan,Mumbai Indians,82
33,F du Plessis,Royal Challengers Bangalore,80
34,T Natarajan,Sunrisers Hyderabad,78
35,MR Marsh,Delhi Capitals,75
36,OC McCoy,Rajasthan Royals,73
37,SV Samson,Rajasthan Royals,70
38,Rashid Khan,Gujarat Titans,65
39,MM Ali,Chennai Super Kings,63
40,SS Iyer,Kolkata Knight Riders,58
41,Mohammed Shami,Gujarat Titans,57
42,RR Pant,Delhi Capitals,56
43,KK Ahmed,Delhi Capitals,54
44,MS Dhoni,Chennai Super Kings,51
45,HV Patel,Royal Challengers Bangalore,46
46,RK Singh,Kolkata Knight Riders,45
47,B Sai Sudharsan,Gujarat Titans,42
48,R Tewatia,Gujarat Titans,38
49,R Sai Kishore,Gujarat Titans,36
50,UT Yadav,Kolkata Knight Riders,35
51,GJ Maxwell,Royal Challengers Bangalore,35
52,M Theekshana,Chennai Super Kings,32
53,RD Gaikwad,Chennai Super Kings,32
54,K Kartikeya,Mumbai Indians,30
55,JM Sharma,Punjab Kings,27
56,Abhishek Sharma,Sunrisers Hyderabad,26
57,A Nortje,Delhi Capitals,26
58,PP Shaw,Delhi Capitals,24
59,S Dube,Chennai Super Kings,22
60,A Badoni,Lucknow Super Giants,21
61,AT Rayudu,Chennai Super Kings,15
62,N Jagadeesan,Chennai Super Kings,14
63,Mukesh Choudhary,Chennai Super Kings,14
64,PH Solanki,Chennai Super Kings,14
65,SN Khan,Delhi Capitals,13
66,M Pathirana,Chennai Super Kings,11
67,V Kohli,Royal Challengers Bangalore,5
68,K Gowtham,Lucknow Super Giants,4
69,PN Mankad,Punjab Kings,4
70,VR Aaron,Gujarat Titans,3
71,JD Unadkat,Mumbai Indians,2
72,N Rana,Kolkata Knight Riders,2
73,MP Stoinis,Lucknow Super Giants,1
74,NT Ellis,Punjab Kings,1
75,S Gopal,Sunrisers Hyderabad,1
76,C Sakariya,Delhi Capitals,0
77,J Suchith,Sunrisers Hyderabad,-1
78,PBB Rajapaksa,Punjab Kings,-1
79,D Brevis,Mumbai Indians,-2
80,Tilak Varma,None,-4
81,M Ashwin,Mumbai Indians,-4
82,TG Southee,Kolkata Knight Riders,-4
83,E Lewis,Lucknow Super Giants,-5
84,DG Nalkande,Gujarat Titans,-5
85,JM Bairstow,Punjab Kings,-6
86,PK Garg,Sunrisers Hyderabad,-6
87,YBK Jaiswal,Rajasthan Royals,-7
88,M Vohra,Lucknow Super Giants,-7
89,M Prasidh Krishna,Rajasthan Royals,-8
90,RP Meredith,Mumbai Indians,-8
91,PJ Sangwan,Gujarat Titans,-9
92,R Shepherd,Sunrisers Hyderabad,-9
93,R Dhawan,Punjab Kings,-11
94,Prabhsimran Singh,Punjab Kings,-12
95,SW Billings,Kolkata Knight Riders,-12
96,JJ Bumrah,Mumbai Indians,-14
97,NA Saini,Rajasthan Royals,-15
98,Basil Thampi,Mumbai Indians,-17
99,SE Rutherford,Royal Challengers Bangalore,-19
100,AF Milne,Chennai Super Kings,-19
101,RV Patel,Delhi Capitals,-20
102,A Tomar,Kolkata Knight Riders,-22
103,KS Sharma,Lucknow Super Giants,-22
104,Harshit Rana,Kolkata Knight Riders,-22
105,KR Sen,Rajasthan Royals,-23
106,JDS Neesham,Rajasthan Royals,-24
107,T Stubbs,Mumbai Indians,-24
108,Yash Dayal,Gujarat Titans,-24
109,R Powell,Delhi Capitals,-25
110,Mustafizur Rahman,Delhi Capitals,-27
111,TL Seifert,Delhi Capitals,-28
112,KL Nagarkoti,Delhi Capitals,-28
113,HE van der Dussen,Rajasthan Royals,-30
114,M Markande,Mumbai Indians,-31
115,Aman Hakim Khan,Kolkata Knight Riders,-34
116,RD Chahar,Punjab Kings,-34
117,KK Nair,Rajasthan Royals,-36
118,TU Deshpande,Chennai Super Kings,-36
119,SA Abbott,Sunrisers Hyderabad,-37
120,FA Allen,Mumbai Indians,-38
121,Anmolpreet Singh,Mumbai Indians,-39
122,Lalit Yadav,Delhi Capitals,-39
123,RA Bawa,None,-41
124,KS Williamson,Sunrisers Hyderabad,-43
125,S Kaul,Royal Challengers Bangalore,-43
126,AJ Finch,Kolkata Knight Riders,-43
127,KS Bharat,Delhi Capitals,-44
128,OF Smith,Punjab Kings,-44
129,Simarjeet Singh,Chennai Super Kings,-44
130,DJ Mitchell,Rajasthan Royals,-45
131,NM Coulter-Nile,Rajasthan Royals,-45
132,R Sanjay Yadav,Mumbai Indians,-47
133,Rasikh Salam,Kolkata Knight Riders,-47
134,A Manohar,Gujarat Titans,-47
135,AM Rahane,Kolkata Knight Riders,-48
136,Anuj Rawat,Royal Challengers Bangalore,-52
137,KH Pandya,Lucknow Super Giants,-52
138,AJ Tye,Lucknow Super Giants,-52
139,Fazalhaq Farooqi,Sunrisers Hyderabad,-52
140,Shashank Singh,Sunrisers Hyderabad,-53
141,RV Uthappa,Chennai Super Kings,-54
142,TS Mills,Mumbai Indians,-55
143,AS Roy,Kolkata Knight Riders,-55
144,Abdul Samad,Sunrisers Hyderabad,-56
145,MJ Santner,Chennai Super Kings,-56
146,B Indrajith,Kolkata Knight Riders,-57
147,AR Patel,Delhi Capitals,-57
148,PJ Cummins,Kolkata Knight Riders,-59
149,Mandeep Singh,Delhi Capitals,-60
150,MK Lomror,Royal Challengers Bangalore,-61
151,SS Prabhudessai,Royal Challengers Bangalore,-62
152,D Padikkal,Rajasthan Royals,-64
153,M Shahrukh Khan,Punjab Kings,-64
154,MK Pandey,Lucknow Super Giants,-67
155,TA Boult,Rajasthan Royals,-71
156,B Kumar,Sunrisers Hyderabad,-75
157,MS Wade,Gujarat Titans,-76
158,DJ Willey,Royal Challengers Bangalore,-80
159,HR Shokeen,Mumbai Indians,-80
160,SP Jackson,Kolkata Knight Riders,-80
161,KA Pollard,Mumbai Indians,-81
162,Arshdeep Singh,Punjab Kings,-84
163,Kartik Tyagi,Sunrisers Hyderabad,-92
164,Harpreet Brar,Punjab Kings,-93
165,RG Sharma,Mumbai Indians,-94
166,Sandeep Sharma,Punjab Kings,-94
167,CJ Jordan,Chennai Super Kings,-95
168,Akash Deep,Royal Challengers Bangalore,-96
169,M Jansen,Sunrisers Hyderabad,-97
170,AS Joseph,Gujarat Titans,-98
171,V Shankar,Gujarat Titans,-98
172,D Pretorius,Chennai Super Kings,-102
173,Ravi Bishnoi,Lucknow Super Giants,-104
174,R Parag,Rajasthan Royals,-107
175,JO Holder,Lucknow Super Giants,-109
176,MA Agarwal,Punjab Kings,-114
177,SN Thakur,Delhi Capitals,-116
178,VG Arora,Punjab Kings,-130
179,Washington Sundar,Sunrisers Hyderabad,-135
180,Shivam Mavi,Kolkata Knight Riders,-136
181,R Ashwin,Rajasthan Royals,-139
182,LH Ferguson,Gujarat Titans,-147
183,VR Iyer,Kolkata Knight Riders,-148
184,DR Sams,Mumbai Indians,-150
185,RA Jadeja,Chennai Super Kings,-153
186,CV Varun,Kolkata Knight Riders,-154
187,PVD Chameera,Lucknow Super Giants,-168
188,SP Narine,Kolkata Knight Riders,-182
189,Shahbaz Ahmed,Royal Challengers Bangalore,-185
190,Mohammed Siraj,Royal Challengers Bangalore,-275
